Name,Range_km,Efficiency,Weight,Acceleration(0-100),Firth_stop_range,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price
Lexus UX 300e,235 km,191 Wh/km,1860,7.5,199,45,32,0,316,198,"€47,550"
Mercedes-Benz EQS SUV 580 4MATIC,530 km,223 Wh/km,2845,4.7,543,118,160,1800,645,303,"€147,923"
Nissan Townstar EV Passenger,225 km,200 Wh/km,1872,12.6,221,45,50,1500,819,178,"€39,990"
Renault Scenic E-Tech EV60 170hp,340 km,176 Wh/km,1822,8.6,357,60,80,1100,545,124,"€41,400"
Opel Grandland Electric 97 kWh,490 km,198 Wh/km,2255,8.8,498,96.9,135,1150,550,104,"€51,750"
Volvo XC40 Recharge Pure Electric,330 km,203 Wh/km,2023,7.4,355,67,113,1500,450,146,"€45,080"
Ford Explorer Standard Range RWD,305 km,170 Wh/km,1908,8.7,338,52,85,1000,536,141,"€42,500"
Polestar 2 Long Range Single Motor,475 km,166 Wh/km,2084,6.2,527,79,110,1500,448,112,"€52,690"
Lucid Air Grand Touring,665 km,168 Wh/km,2435,3,757,112,174,0,910,196,"€129,000"
Zeekr X Long Range RWD,360 km,181 Wh/km,1930,5.6,392,65,101,1600,383,121,N/A
Mini Aceman SE,290 km,170 Wh/km,1785,7.1,308,49.2,75,750,300,141,"€39,550"
Subaru Solterra AWD 73.1 kWh,370 km,186 Wh/km,2100,5.1,404,69,110,1500,421,132,N/A
Ford Mustang Mach-E GT,425 km,214 Wh/km,2343,3.8,433,91,115,750,619,175,"€77,300"
Audi Q6 SUV e-tron,395 km,192 Wh/km,2200,7,459,75.8,150,2000,590,167,"€63,500"
Polestar 2 Long Range Dual Motor,455 km,174 Wh/km,2183,4.5,509,79,110,1500,448,127,"€56,990"
Hongqi EH7 111 kWh Long Range,550 km,173 Wh/km,2390,5.8,668,95.3,210,1000,468,107,N/A
Volvo C40 Recharge Twin Motor,400 km,198 Wh/km,2185,4.7,438,79,110,1800,450,154,"€61,400"
Smart #3 Premium,355 km,175 Wh/km,1885,5.8,380,62,90,1600,385,128,"€46,490"
Mercedes-Benz EQE 350+,525 km,173 Wh/km,2355,6.4,571,90.6,136,750,430,153,"€70,626"
Volkswagen ID.5 Pro,460 km,167 Wh/km,2130,6.7,508,77,120,1000,549,117,"€48,970"
Dacia Spring Electric 65,160 km,156 Wh/km,1032,13.7,149,25,29,0,343,119,"€18,900"
Volvo XC40 Recharge Twin Pure Electric,350 km,214 Wh/km,2188,4.9,362,75,97,1800,450,171,"€56,150"
Volvo EC40 Single Motor,360 km,186 Wh/km,2057,7.3,394,67,100,1500,435,152,"€52,690"
Kia EV4 Hatchback 58.3 kWh,340 km,162 Wh/km,1805,7.4,364,55,80,500,435,111,"€37,590"
Kia EV9 99.8 kWh AWD GT,420 km,229 Wh/km,2648,4.6,468,96,194,2500,385,217,"€89,990"
XPENG G9 RWD Standard Range,410 km,191 Wh/km,2285,6.6,528,78.2,280,1500,731,146,"€59,600"
Skoda Enyaq Coupe RS,470 km,168 Wh/km,2239,5.4,534,79,135,1800,570,126,"€60,850"
Tesla Model S P85D,390 km,207 Wh/km,2262,3.3,393,80.75,95,0,895,300,"€115,000"
Audi A6 Avant e-tron,465 km,163 Wh/km,2185,6,560,75.8,150,2100,529,146,"€64,450"
Peugeot e-2008,260 km,178 Wh/km,1623,8.5,283,46.3,74,0,434,143,"€35,450"
Mercedes-Benz EQS 450+,635 km,171 Wh/km,2515,6.1,702,108.4,169,750,620,180,"€109,551"
BMW i5 eDrive40 Touring,465 km,175 Wh/km,2255,6.1,519,81.2,123,1500,570,167,"€72,200"
Renault Scenic E-Tech EV60 170hp,340 km,176 Wh/km,1822,8.6,357,60,80,1100,545,117,"€40,400"
Volkswagen ID.7 Pro,475 km,162 Wh/km,2180,6.5,541,77,125,1000,532,114,"€54,105"
BMW iX2 xDrive30,385 km,168 Wh/km,2095,5.6,409,64.7,86,1200,525,159,"€56,500"
Mercedes-Benz EQB 350 4MATIC,345 km,193 Wh/km,2165,6.2,357,66.5,100,1700,495,187,"€58,197"
Mini Aceman E,230 km,167 Wh/km,1720,7.9,243,38.5,60,750,300,160,"€34,900"
Mercedes-Benz EQS 580 4MATIC,640 km,184 Wh/km,2655,4.4,682,118,160,1700,620,245,"€141,705"
Citroen e-C4 54 kWh,325 km,156 Wh/km,1646,9.1,353,50.8,79,0,380,109,"€34,100"
BMW i4 xDrive40,495 km,164 Wh/km,2260,5.1,563,81.3,130,1600,470,132,"€64,100"
BMW i5 M60 xDrive Sedan,420 km,193 Wh/km,2380,3.8,469,81.2,123,2000,490,255,"€99,500"
Volvo EX30 P3 Long Range,365 km,178 Wh/km,1850,8.3,402,65,101,1200,325,104,N/A
Renault Zoe R240,145 km,161 Wh/km,1502,13.5,102,23.3,0,0,338,148,"€21,500"
Toyota Urban Cruiser 61.1 kWh,330 km,181 Wh/km,1835,8.7,307,59.8,60,750,238,116,"€38,990"
Subaru Uncharted 77 kWh,420 km,171 Wh/km,1915,7.3,455,72,110,750,404,102,N/A
Ford Focus Electric,105 km,186 Wh/km,1700,11.4,75,19.55,0,0,237,358,"€39,990"
Porsche Taycan Turbo S,400 km,209 Wh/km,2370,2.8,494,83.7,200,0,450,459,"€189,668"
Volvo EX40 Single Motor,345 km,194 Wh/km,2040,7.3,378,67,100,1500,441,144,"€49,990"
Kia PV5 Passenger 51.5 kWh,230 km,209 Wh/km,2065,12.8,257,48,75,750,1330,166,"€38,290"
Hyundai Kona Electric 39 kWh,245 km,160 Wh/km,1610,9.9,223,39.2,37,0,361,145,"€34,850"
MG Marvel R Performance,350 km,200 Wh/km,1995,4.9,335,70,81,750,357,148,"€50,990"
Citroen e-C3 Aircross Comfort Range 44 kWh,240 km,183 Wh/km,1572,12.9,254,43.8,62,350,460,110,"€26,490"
Hyundai Kona Electric 48.6 kWh,295 km,165 Wh/km,1685,9.9,291,48.6,50,300,493,128,"€38,340"
Audi e-tron Sportback 50 quattro,295 km,219 Wh/km,2445,6.8,315,64.7,114,1800,677,244,"€71,350"
BYD DOLPHIN 44.9 kWh Active,265 km,169 Wh/km,1650,12.3,251,44.9,50,0,345,113,N/A
Skoda Enyaq RS,460 km,172 Wh/km,2236,5.4,520,79,135,1200,585,127,"€58,600"
Renault Kangoo Maxi ZE 33,160 km,194 Wh/km,1630,22.4,115,31,0,0,1300,236,"€38,000"
Fisker Ocean One,525 km,203 Wh/km,2509,3.9,565,106.5,135,1820,476,134,"€69,950"
Audi Q4 e-tron 55 quattro,395 km,195 Wh/km,2235,5.4,437,77,120,1200,520,160,"€59,000"
Tesla Model S P90D,415 km,206 Wh/km,2262,3.3,408,85.5,90,0,895,292,"€120,300"
Volkswagen ID.3 Pure Performance,275 km,164 Wh/km,1772,8.9,252,45,45,0,385,116,"€31,960"
Peugeot e-308 SW,300 km,169 Wh/km,1791,10,322,50.8,79,0,548,142,"€45,765"
Mercedes-Benz EQS SUV Maybach 680,490 km,241 Wh/km,3075,4.4,507,118,160,1800,440,441,"€200,634"
Opel Corsa Electric 51 kWh,315 km,153 Wh/km,1544,8.1,338,48.1,76,0,267,118,"€38,045"
BMW i5 eDrive40 Touring,455 km,178 Wh/km,2255,6.1,512,81.2,123,1500,570,171,"€72,200"
CUPRA Born VZ,465 km,170 Wh/km,1999,5.6,517,79,135,0,385,111,"€52,870"
Ford Capri Extended Range RWD,455 km,169 Wh/km,2098,6.4,477,77,120,1000,572,112,"€50,911"
TOGG T10F Long Range AWD,465 km,183 Wh/km,2294,4.1,505,85,115,0,505,105,"€48,600"
KGM Musso EV 4WD,360 km,224 Wh/km,2385,8,351,80.6,100,2300,907,131,"€45,990"
Audi e-tron 50 quattro,280 km,231 Wh/km,2445,6.8,299,64.7,114,1800,722,251,"€69,100"
Citroen e-Berlingo XL 50 kWh,230 km,217 Wh/km,1881,11.7,242,50,80,750,1050,169,"€37,940"
Skoda Enyaq RS,460 km,172 Wh/km,2236,5.4,520,79,135,1800,585,125,"€58,600"
Maserati Grecale Folgore,450 km,219 Wh/km,2555,4.1,450,98.6,110,1800,535,247,"€109,230"
Peugeot e-208 50 kWh,295 km,157 Wh/km,1530,9,318,46.3,74,0,309,124,"€35,975"
Volkswagen ID.3 GTX Performance,465 km,170 Wh/km,1993,5.6,526,79,135,0,385,108,"€48,725"
Mercedes-Benz EQC 400 4MATIC,370 km,216 Wh/km,2495,5.1,366,80,99,1800,500,201,"€69,484"
Volvo C40 Recharge Single Motor ER,420 km,188 Wh/km,2095,7.3,454,79,110,1500,450,128,"€54,450"
Tesla Model X 90D,395 km,216 Wh/km,2464,5,387,85.5,90,0,0,287,"€113,300"
BMW i3 94 Ah,165 km,165 Wh/km,1320,7.3,170,27.2,46,0,260,226,"€37,550"
Audi e-tron Sportback 55 quattro,380 km,228 Wh/km,2565,5.7,399,86.5,147,1800,677,209,"€83,750"
Lotus Eletre,495 km,220 Wh/km,2565,4.5,597,109,246,2250,657,202,"€96,990"
Volkswagen ID.4 GTX,400 km,193 Wh/km,2239,6.3,425,77,103,1200,543,147,"€53,255"
BMW iX2 eDrive20,405 km,161 Wh/km,1960,8.6,437,65.2,95,750,525,137,"€55,100"
Renault Megane E-Tech EV60 130hp,380 km,158 Wh/km,1725,10.5,404,60,80,500,440,96,N/A
Toyota bZ4X FWD 57.7 kWh,305 km,177 Wh/km,1920,8.6,343,54,85,750,452,142,"€42,990"
Mitsubishi i-MiEV,85 km,171 Wh/km,1160,15.9,98,14.5,30,0,166,310,"€23,790"
Mercedes-Benz EQE 300,525 km,170 Wh/km,2405,7.3,566,89,120,750,430,137,"€67,187"
Skoda Enyaq 85x,450 km,171 Wh/km,2230,6.7,501,77,120,1200,585,119,"€51,150"
Polestar 2 Standard Range Single Motor,375 km,176 Wh/km,2013,7.4,414,66,113,1500,440,129,"€47,295"
Zeekr 7X Core RWD,380 km,189 Wh/km,2395,6,492,72,240,2000,605,145,"€55,950"
Kia e-Niro 64 kWh,375 km,171 Wh/km,1812,7.8,349,64,61,0,451,106,"€39,090"
Mercedes-Benz EQV 300 Long,310 km,290 Wh/km,2635,12.1,285,90,95,0,1030,276,"€71,626"
Porsche Taycan Turbo S,525 km,185 Wh/km,2370,2.4,674,97,267,0,450,391,"€209,900"
Alpine A390 GT,470 km,189 Wh/km,2199,4.8,486,89,120,1350,532,146,"€67,500"
Volkswagen ID.7 Tourer GTX,500 km,172 Wh/km,2339,5.5,570,86,145,1200,605,138,"€63,955"
Suzuki e VITARA 49 kWh 2WD,270 km,177 Wh/km,1775,9.6,248,47.8,45,750,238,119,"€29,990"
XPENG P7+ RWD Standard Range,375 km,160 Wh/km,2074,6.9,491,60,220,1500,573,124,"€46,600"
Audi Q4 e-tron 35,285 km,182 Wh/km,1965,9,301,52,70,1000,520,173,"€44,700"
MG MG5 Electric Standard Range,265 km,174 Wh/km,1637,7.7,270,46,52,500,479,139,"€35,490"
Volvo EC40 Single Motor ER,420 km,188 Wh/km,2095,7.3,454,79,110,1500,435,135,"€57,190"
Porsche Taycan 4 Cross Turismo,420 km,199 Wh/km,2320,5.1,520,83.7,200,0,530,238,"€98,514"
Citroen e-C4 X 54 kWh,330 km,154 Wh/km,1659,9.3,359,50.8,79,0,510,119,"€36,325"
BMW i7 eDrive50,520 km,196 Wh/km,2595,5.5,568,101.7,149,0,500,227,"€115,700"
Porsche Taycan Plus,575 km,169 Wh/km,2245,4.8,750,97,267,0,491,186,"€107,224"
Ford Mustang Mach-E ER AWD,445 km,204 Wh/km,2245,4.6,447,91,115,1500,619,148,"€65,900"
BMW iX M70 xDrive,500 km,218 Wh/km,2655,3.8,524,108.9,150,2500,500,258,"€124,900"
Polestar 2 Standard Range Single Motor,405 km,165 Wh/km,2020,6.4,454,67,100,1500,448,120,"€48,990"
Ford Mustang Mach-E ER RWD,475 km,185 Wh/km,2161,6.1,482,88,105,1500,619,128,"€59,200"
JAC iEV7s,225 km,173 Wh/km,1535,12,200,39,29,0,250,133,N/A
Skoda Enyaq RS,435 km,177 Wh/km,2251,5.5,480,77,120,1200,585,140,"€61,050"
Volvo EX30 Cross Country,335 km,194 Wh/km,1960,3.7,361,65,101,1600,325,164,"€57,290"
Kia e-Soul 64 kWh,370 km,173 Wh/km,1757,7.9,343,64,61,0,315,122,"€47,450"
Peugeot e-208 50 kWh,295 km,157 Wh/km,1530,9,318,46.3,74,0,309,115,"€36,525"
Volkswagen ID.3 Pro S,450 km,171 Wh/km,1934,7.9,479,77,103,0,385,96,"€41,995"
Seres 3,260 km,196 Wh/km,1765,8.9,232,51,50,0,318,146,N/A
Volkswagen ID.7 GTX,500 km,172 Wh/km,2325,5.5,572,86,145,1800,532,130,"€63,265"
Alpine A390 GTS,470 km,189 Wh/km,2196,3.9,516,89,140,1350,532,168,"* €77,000"
Tesla Model S 75,380 km,191 Wh/km,2102,4.6,386,72.5,80,0,895,189,"€69,970"
Peugeot e-308 58 kWh,345 km,161 Wh/km,1749,9.3,358,55.4,75,0,361,109,"€42,435"
VinFast VF 8 Eco Extended Range,405 km,217 Wh/km,2530,5.9,411,87.7,105,1800,376,128,"€52,990"
Volvo EX30 P5 Long Range,365 km,178 Wh/km,1850,5.3,402,65,101,1600,325,110,N/A
Audi RS e-tron GT,525 km,185 Wh/km,2395,2.8,682,97,267,0,427,282,"€147,500"
MG MGS5 EV 49 kWh,275 km,171 Wh/km,1710,8,309,47.1,80,750,453,127,"€37,990"
Audi Q8 SUV e-tron 50 quattro,425 km,209 Wh/km,2585,6,443,89,147,1800,631,179,"€75,900"
DS Automobiles DS 3 E-Tense,300 km,169 Wh/km,1625,9,322,50.8,79,0,350,135,"€40,540"
Mercedes-Benz EQE AMG 43 4MATIC,450 km,201 Wh/km,2535,4.2,490,90.6,136,750,430,240,"€104,756"
Volvo EX30 P3,275 km,178 Wh/km,1840,8.6,306,49,80,1000,325,120,N/A
Tesla Model S 70D,350 km,190 Wh/km,2156,5.4,369,66.5,95,0,895,240,"€83,500"
MG MG5 EV,290 km,168 Wh/km,1607,7.7,290,48.8,60,0,464,103,N/A
Smart #1 Premium,335 km,185 Wh/km,1875,6.7,357,62,90,1600,338,132,"€44,990"
Citroen e-Berlingo Multispace,100 km,205 Wh/km,1679,19.5,105,20.5,30,0,1350,317,N/A
Mercedes-Benz EQS 580 4MATIC,590 km,184 Wh/km,2635,4.3,654,108.4,169,750,620,267,"€141,705"
Hyundai Kona Electric 64 kWh,390 km,164 Wh/km,1760,7.6,363,64,61,0,332,101,"€39,000"
Polestar 2 Long Range Performance,450 km,176 Wh/km,2180,4.2,501,79,110,1500,446,139,"€58,775"
Audi S6 Avant e-tron,530 km,179 Wh/km,2410,3.9,628,94.9,186,2100,529,199,"€101,150"
MG IM5 Performance,490 km,197 Wh/km,2298,3.2,621,96.5,250,0,475,114,N/A
Citroen e-C4 54 kWh,330 km,154 Wh/km,1636,9.2,359,50.8,79,0,380,118,"€35,925"
Renault Zoe ZE40 R110,255 km,161 Wh/km,1502,11.4,232,41,40,0,338,118,"€29,990"
DS Automobiles N°8 AWD Long Range,530 km,183 Wh/km,2364,5.4,552,97.2,135,1400,620,139,"€75,000"
Smart #5 Pro+,475 km,202 Wh/km,2335,6.5,587,96,230,1600,702,109,"€50,900"
Mercedes-Benz EQE 350 4MATIC,510 km,175 Wh/km,2475,6.3,547,89,120,750,430,157,"€74,149"
Mercedes-Benz EQA 300 4MATIC,350 km,190 Wh/km,2110,7.7,359,66.5,100,1800,340,166,"€53,520"
BMW i3 94 Ah,165 km,165 Wh/km,1320,7.3,170,27.2,46,0,260,218,"€36,800"
Maserati GranTurismo Folgore,420 km,198 Wh/km,2335,2.7,531,83,217,0,270,480,"€198,212"
Mercedes-Benz EQE 350,515 km,173 Wh/km,2405,6.4,556,89,120,750,430,157,"€70,995"
Porsche Taycan Sport Turismo,460 km,179 Wh/km,2190,4.8,568,82.3,195,0,530,225,"€102,400"
Zeekr X Long Range RWD,360 km,181 Wh/km,1930,5.6,392,65,101,1600,383,121,"€43,450"
Volkswagen ID.4 Pro 4MOTION,435 km,177 Wh/km,2231,6.6,477,77,120,1200,543,117,"€49,020"
Audi A6 Sportback e-tron quattro,570 km,166 Wh/km,2360,4.7,682,94.9,186,2100,529,144,"€79,800"
Ford Explorer Extended Range RWD,450 km,176 Wh/km,2080,8.5,500,79,135,1200,536,103,"€48,500"
Lucid Air Pure RWD,580 km,152 Wh/km,2145,4.7,668,88,150,0,910,151,"€85,900"
Ford Mustang Mach-E ER AWD,440 km,207 Wh/km,2257,5.8,410,91,84,1000,619,165,"€69,700"
Lancia Ypsilon,310 km,155 Wh/km,1561,8.2,332,48.1,76,0,309,114,N/A
Subaru Uncharted 77 kWh AWD,375 km,192 Wh/km,2025,5.1,405,72,110,1500,403,130,N/A
Skoda CITIGOe iV,205 km,158 Wh/km,1235,12.3,188,32.3,29,0,250,110,"€24,534"
Smart EQ forfour,95 km,176 Wh/km,1200,12.7,66,16.7,0,0,185,241,"€19,120"
Audi Q4 e-tron 35,285 km,182 Wh/km,1990,9,324,52,90,1000,520,160,"€45,600"
Lexus RZ 300e,355 km,180 Wh/km,2030,8,391,64,100,750,522,157,"€55,590"
Fiat 500e 3+1 42 kWh,235 km,159 Wh/km,1400,9,257,37.3,65,0,185,146,"€36,990"
Renault Zoe R110,250 km,164 Wh/km,1575,11.4,182,41,0,0,338,132,"€35,900"
Volkswagen ID.3 Pro Performance,350 km,166 Wh/km,1805,7.3,369,58,75,0,385,104,"€36,495"
Audi Q4 Sportback e-tron 45,435 km,177 Wh/km,2145,6.7,485,77,120,1000,535,128,"€54,950"
BMW i7 M70 xDrive,490 km,208 Wh/km,2770,3.7,530,101.7,149,0,500,381,"€181,800"
Porsche Taycan 4S,415 km,171 Wh/km,2215,4,518,71,171,0,491,273,"€114,559"
Opel Astra Electric 58 kWh,345 km,161 Wh/km,1733,9.3,361,55.4,75,0,352,108,"€37,990"
Tesla Model X Long Range Plus,480 km,204 Wh/km,2505,4.6,529,98,125,2250,0,199,"€90,990"
Citroen e-C4 X 54 kWh,335 km,152 Wh/km,1652,9.1,362,50.8,79,0,510,107,"€34,800"
Ford Mustang Mach-E SR RWD,365 km,186 Wh/km,2044,6.9,363,68,76,750,619,134,"€47,500"
Mercedes-Benz EQE SUV 350 4MATIC,435 km,208 Wh/km,2560,6.6,468,90.6,141,1800,520,215,"€89,548"
Volvo EX40 Twin Motor,385 km,205 Wh/km,2170,4.8,414,79,110,1800,441,164,"€59,590"
Mercedes-Benz EQS 350,570 km,168 Wh/km,2440,6.7,614,96,130,750,620,187,N/A
CUPRA Born 150 kW - 59 kWh,360 km,164 Wh/km,1842,7.7,416,59,110,0,385,101,"€40,450"
Peugeot e-308,300 km,169 Wh/km,1759,9.8,327,50.8,79,0,361,139,"€44,765"
Polestar 2 Long Range Dual Motor,450 km,176 Wh/km,2183,4.5,501,79,110,1500,446,125,"€52,275"
Volvo EC40 Twin Motor,400 km,198 Wh/km,2185,4.8,438,79,110,1800,435,150,"€61,290"
Kia Soul EV,155 km,174 Wh/km,1565,11.2,162,27,40,0,281,199,"€28,890"
Fiat 500e Hatchback 24 kWh,135 km,158 Wh/km,1255,9,153,21.3,40,0,185,198,"€30,990"
Volvo XC40 Recharge Single Motor,340 km,194 Wh/km,2040,7.3,367,66,113,1500,441,144,"€47,500"
Volvo EC40 Single Motor ER,420 km,188 Wh/km,2095,7.3,454,79,110,1500,435,137,"€57,190"
Alfa Romeo Junior Elettrica 54 kWh Veloce,310 km,164 Wh/km,1635,6,330,50.8,79,0,400,156,"€48,500"
Polestar 2 Standard Range Single Motor,405 km,165 Wh/km,2020,6.4,454,67,100,1500,448,120,"€48,990"
Audi Q6 Sportback e-tron performance,510 km,186 Wh/km,2275,6.6,595,94.9,186,2000,575,144,"€71,200"
Polestar 2 Standard Range Single Motor,395 km,167 Wh/km,2019,6.4,439,66,113,1500,446,121,"€46,275"
Skoda Enyaq Coupe RS,450 km,171 Wh/km,2258,5.5,493,77,120,1200,570,140,"€63,300"
Polestar 2 Long Range Performance,450 km,176 Wh/km,2180,4.2,501,79,110,1500,448,142,"€63,490"
Volvo EX40 Twin Motor,385 km,205 Wh/km,2170,4.8,414,79,110,1800,441,151,"€59,590"
Mercedes-Benz EQE 350 4MATIC,515 km,176 Wh/km,2475,5.9,564,90.6,141,1700,430,150,"€74,149"
Citroen e-C4,280 km,165 Wh/km,1616,9.7,308,46.3,74,0,380,124,"€34,640"
Mercedes-Benz EQB 350 4MATIC,340 km,196 Wh/km,2175,6.2,350,66.5,99,0,495,188,"€58,197"
Dacia Spring Electric,160 km,156 Wh/km,1012,19.1,151,25,29,0,300,123,"€20,490"
Audi SQ6 SUV e-tron,470 km,202 Wh/km,2425,4.3,550,94.9,186,2400,578,214,"€93,800"
CUPRA Born 170 kW - 77 kWh,460 km,167 Wh/km,1965,7,512,77,125,0,385,99,"€47,250"
Renault Megane E-Tech EV40 130hp,260 km,154 Wh/km,1588,10,272,40,49,500,440,151,"€42,000"
Porsche Taycan GTS,450 km,186 Wh/km,2370,3.7,566,83.7,200,0,491,306,"€139,906"
Ford Capri Extended Range AWD,445 km,173 Wh/km,2175,5.3,493,77,120,1800,572,119,"€55,400"
Nissan Ariya e-4ORCE 87kWh - 225 kW,405 km,215 Wh/km,2259,5.7,391,87,80,1500,415,136,"€57,490"
Kia EV6 Standard Range 2WD,305 km,177 Wh/km,1875,8.5,377,54,140,750,563,148,"€46,990"
Mercedes-Benz EQS 450 4MATIC,605 km,178 Wh/km,2615,5.6,671,107.8,169,750,610,201,"€113,359"
Lotus Emeya 600,520 km,190 Wh/km,2555,4.2,693,98.9,328,2250,543,204,"€107,990"
Volkswagen ID.4 GTX,400 km,193 Wh/km,2224,6.2,425,77,103,1200,543,135,"€50,415"
Mercedes-Benz EQB 250,385 km,173 Wh/km,2110,8.9,397,66.5,99,0,495,146,"€52,550"
NIO ET7 Standard Range,415 km,177 Wh/km,2434,3.8,456,73.5,110,2000,363,201,"€81,900"
Smart #5 Summit Edition,460 km,209 Wh/km,2445,4.9,570,96,230,1600,677,125,"€56,900"
Kia e-Soul 64 kWh,370 km,173 Wh/km,1757,7.9,343,64,61,0,315,107,"€42,390"
Hyundai IONIQ 5 Standard Range AWD,290 km,186 Wh/km,2015,6.1,359,54,140,0,555,158,"€45,900"
Volkswagen ID.3 Pure Performance,275 km,164 Wh/km,1781,8.9,299,45,71,0,385,128,N/A
SEAT Mii Electric,205 km,158 Wh/km,1235,12.3,188,32.3,29,0,251,116,"€24,650"
Volkswagen ID.3 Pro S - 4 Seats,450 km,171 Wh/km,1935,7.9,479,77,103,0,385,123,"€56,500"
Aiways U5,315 km,190 Wh/km,1795,7.5,313,60,75,0,496,128,"€39,563"
Abarth 500e Hatchback,225 km,166 Wh/km,1410,7,246,37.3,65,0,185,158,"€37,990"
Skoda Enyaq 60,335 km,173 Wh/km,1992,8.7,361,58,82,1000,585,133,"€44,200"
Mercedes-Benz EQS SUV 450+,540 km,219 Wh/km,2730,6.8,559,118,160,750,645,219,"€110,801"
Polestar 3 Dual Motor,500 km,204 Wh/km,2565,4.7,590,102,200,2200,508,179,N/A
Lightyear 0,550 km,109 Wh/km,1575,10,535,60,60,0,640,548,"€297,500"
Aiways U6,350 km,171 Wh/km,1790,7,349,60,75,0,472,138,"€47,588"
NIO EL6 Long Range,435 km,207 Wh/km,2398,4.5,471,90,135,1200,579,174,"€74,500"
Volkswagen ID.7 Tourer Pro S,520 km,165 Wh/km,2235,6.7,589,86,145,1000,605,117,"€59,785"
Renault Zoe R90,255 km,161 Wh/km,1555,13.5,182,41,0,0,338,122,"€33,200"
Audi e-tron 55 quattro,365 km,237 Wh/km,2565,5.7,384,86.5,147,1800,722,222,"€80,900"
Polestar 2 Standard Range Single Motor,345 km,177 Wh/km,2015,7.4,358,61,75,1500,440,133,"€45,500"
Audi RS e-tron GT performance,525 km,185 Wh/km,2395,2.5,682,97,267,0,427,311,"€160,500"
Zeekr X Core RWD,270 km,181 Wh/km,1930,5.9,299,49,80,1600,383,144,"€38,950"
Mercedes-Benz EQE SUV 500 4MATIC,455 km,211 Wh/km,2610,4.9,482,96,141,1800,520,235,"€99,841"
Opel Mokka-e 54 kWh,290 km,175 Wh/km,1598,9,306,50.8,79,0,310,144,"€44,720"
Citroen e-Berlingo M 50 kWh,235 km,213 Wh/km,1811,11.7,246,50,80,750,775,160,"€36,940"
BMW iX2 xDrive30,395 km,165 Wh/km,2095,5.6,429,65.2,95,1200,525,158,"€62,200"
Skoda Enyaq 85x,440 km,175 Wh/km,2213,6.6,485,77,120,1200,585,122,"€51,150"
MG IM6 Performance,440 km,219 Wh/km,2410,3.5,554,96.5,250,0,697,133,N/A
Subaru Uncharted 57.7 kWh,320 km,169 Wh/km,1815,8.4,353,54,85,750,404,118,N/A
Opel Astra Sports Tourer Electric 58 kWh,335 km,165 Wh/km,1765,9.5,351,55.4,75,0,516,115,"€39,490"
Volvo EX40 Single Motor,345 km,194 Wh/km,2040,7.3,378,67,100,1500,441,141,"€49,990"
Skoda Elroq RS,450 km,176 Wh/km,2229,5.4,508,79,135,1200,470,118,"€53,050"
Audi Q8 Sportback e-tron 55 quattro,525 km,202 Wh/km,2585,5.6,543,106,145,1800,590,169,"€89,550"
Toyota Proace City Verso L1 50 kWh,235 km,213 Wh/km,1811,11.7,246,50,80,750,775,167,"€38,830"
Ford Capri Standard Range RWD,320 km,163 Wh/km,1914,9,357,52,85,1000,572,141,"€44,950"
Audi S6 Sportback e-tron,555 km,171 Wh/km,2400,3.9,663,94.9,186,2100,529,187,"€99,500"
Volvo ES90 Twin Motor Performance,535 km,191 Wh/km,2610,4,642,102,200,2000,468,178,"€94,490"
Tesla Model X Long Range,435 km,218 Wh/km,2533,4.9,434,95,100,2250,0,216,"€91,000"
NIO ET7 Long Range,505 km,178 Wh/km,2454,3.8,509,90,100,2000,363,183,"€90,900"
Citroen C-Zero,85 km,171 Wh/km,1140,15.9,101,14.5,30,0,166,252,"€21,800"
Mini Countryman SE ALL4,385 km,169 Wh/km,2075,5.6,405,65.2,86,1200,460,110,"€43,320"
Ford Mustang Mach-E ER AWD,430 km,205 Wh/km,2257,5.8,401,88,84,750,619,154,"€63,700"
Volkswagen ID.5 GTX,430 km,179 Wh/km,2242,5.5,477,77,120,1200,549,141,"€56,455"
Fisker Ocean Extreme,490 km,217 Wh/km,2526,3.9,528,106.5,135,1820,476,132,"€63,590"
Volvo C40 Recharge Single Motor,355 km,186 Wh/km,2065,7.3,383,66,113,1500,450,145,"€47,500"
Opel Corsa Electric 50 kWh,290 km,160 Wh/km,1544,8.7,315,46.3,74,0,267,116,"€34,650"
Lucid Air Touring,600 km,160 Wh/km,2337,3.6,698,96,160,0,910,169,"€99,900"
BMW i5 xDrive40 Touring,450 km,180 Wh/km,2395,5.5,502,81.2,123,2000,570,179,"€77,600"
Genesis G80 Electrified,490 km,184 Wh/km,2410,5.1,548,90,160,0,354,166,"€76,180"
Porsche Taycan Turbo,415 km,202 Wh/km,2380,3.2,518,83.7,200,0,450,367,"€156,348"
Ford Mustang Mach-E ER RWD,465 km,189 Wh/km,2160,7,436,88,84,750,619,120,"€54,475"
Mercedes-Benz EQE 300,515 km,173 Wh/km,2385,7.3,556,89,120,750,430,144,"€66,402"
Mercedes-Benz EQB 250+,410 km,172 Wh/km,2115,8.9,401,70.5,90,0,495,133,"€53,978"
Lotus Emeya,520 km,190 Wh/km,2555,4.2,693,98.9,328,2250,543,209,"€106,400"
Volvo EX90 Twin Motor Performance,465 km,219 Wh/km,2725,4.2,547,102,200,2200,703,226,"€101,290"
Volkswagen e-Up!,100 km,160 Wh/km,1229,12.4,110,16,29,0,250,235,"€22,975"
